state,abb,income,depression,,,,,
Alabama,AL,46257,21.3,,,,,
Alaska,AK,76440,15.6,,,,,
Arizona,AZ,53558,18.7,,,,,
Arkansas,AR,44334,21.5,,,,,
California,CA,67739,13.3,,,,,
Colorado,CO,65685,17,,,,,
Connecticut,CT,73433,18.3,,,,,
Delaware,DE,61757,18.3,,,,,
District of Columbia,DC,75506,18.1,,,,,
Florida,FL,50860,16.2,,,,,
Georgia,GA,53559,18.3,,,,,
Hawaii,HI,74511,10.7,,,,,
Idaho,ID,51807,19.5,,,,,
Illinois,IL,60960,16.7,,,,,
Indiana,IN,52314,20.7,,,,,
Iowa,IA,56247,18.7,,,,,
Kansas,KS,54935,18.6,,,,,
Kentucky,KY,46659,23.9,,,,,
Louisiana,LA,45146,18.7,,,,,
Maine,ME,53079,23.7,,,,,
Maryland,MD,78945,15.9,,,,,
Massachusetts,MA,75297,21.7,,,,,
Michigan,MI,52492,20.5,,,,,
Minnesota,MN,65599,18.2,,,,,
Mississippi,MS,41754,19.9,,,,,
Missouri,MO,51746,21.7,,,,,
Montana,MT,50027,20.4,,,,,
Nebraska,NE,56927,17.7,,,,,
Nevada,NV,55180,15.6,,,,,
New Hampshire,NH,70936,21,,,,,
New Jersey,NJ,76126,13.4,,,,,
New Mexico,NM,46748,21.1,,,,,
New York,NY,62909,15.9,,,,,
North Carolina,NC,50584,19,,,,,
North Dakota,ND,60656,17.3,,,,,
Ohio,OH,52334,20.9,,,,,
Oklahoma,OK,49176,21.8,,,,,
Oregon,OR,57532,24,,,,,
Pennsylvania,PA,56907,19.7,,,,,
Rhode Island,RI,60596,20.6,,,,,
South Carolina,SC,49501,19.9,,,,,
South Dakota,SD,54467,16.6,,,,,
Tennessee,TN,48547,21.4,,,,,
Texas,TX,56565,14.6,,,,,
Utah,UT,65977,20.7,,,,,
Vermont,VT,57677,21.8,,,,,
Virginia,VA,68114,17.4,,,,,
Washington,WA,67106,21.6,,,,,
West Virginia,WV,43385,23.6,,,,,
Wisconsin,WI,56811,17,,,,,
Wyoming,WY,59882,19,,,,,
Puerto Rico,PR,20078,18.5,,,,,
